start_time,end_time,warehouse_id,warehouse_name,credits_used,credits_used_compute,credits_used_cloud_services,credits_attributed_compute_queries
2026-01-15 23:00:00+00:00,2026-01-16 00:00:00+00:00,64,LOOM_XS_WH,1.357696949,1.35,0.007696949,1.35
2026-01-15 21:00:00+00:00,2026-01-15 22:00:00+00:00,64,LOOM_XS_WH,0.757028336,0.745875,0.011153336,0.226131435
2026-01-15 19:00:00+00:00,2026-01-15 20:00:00+00:00,64,LOOM_XS_WH,0.461033889,0.4545,0.006533889,0.115027631
2026-01-15 14:00:00+00:00,2026-01-15 15:00:00+00:00,64,LOOM_XS_WH,0.184101667,0.181875,0.002226667,0.027330825
2026-01-16 01:00:00+00:00,2026-01-16 02:00:00+00:00,64,LOOM_XS_WH,0.113488056,0.112875,0.000613056,6.975e-06
2026-01-16 14:00:00+00:00,2026-01-16 15:00:00+00:00,64,LOOM_XS_WH,0.00119944,0.0,0.00119944,
2026-01-15 18:00:00+00:00,2026-01-15 19:00:00+00:00,64,LOOM_XS_WH,0.468313328,0.4605,0.007813328,0.228088363
2026-01-15 17:00:00+00:00,2026-01-15 18:00:00+00:00,64,LOOM_XS_WH,0.21033695,0.207375,0.00296195,0.013028175
2026-01-15 20:00:00+00:00,2026-01-15 21:00:00+00:00,64,LOOM_XS_WH,1.5278e-05,0.0,1.5278e-05,0.0
2026-01-15 22:00:00+00:00,2026-01-15 23:00:00+00:00,64,LOOM_XS_WH,0.988066386,0.977625,0.010441386,0.429643375
2026-01-15 15:00:00+00:00,2026-01-15 16:00:00+00:00,64,LOOM_XS_WH,2.5278e-05,0.0,2.5278e-05,0.0
2026-01-16 00:00:00+00:00,2026-01-16 01:00:00+00:00,64,LOOM_XS_WH,0.474931945,0.472875,0.002056945,0.380418
2026-01-15 16:00:00+00:00,2026-01-15 17:00:00+00:00,64,LOOM_XS_WH,1.214467779,1.183125,0.031342779,0.3726295
